"Date","BTC-USD","ETH-USD","LTC-USD","XRP-USD","ADA-USD","TSLA","AAPL","AMZN","MSFT","PG"
"2020-07-17 08:00:00",9151.392578,232.773087,41.912815,0.194281,0.122486,100.056,96.327499,148.098495,202.880005,125.629997
"2020-07-18 08:00:00",9159.040039,235.48381,42.425865,0.199341,0.122477,NA,NA,NA,NA,NA
"2020-07-19 08:00:00",9185.817383,238.487518,42.552731,0.199135,0.123712,NA,NA,NA,NA,NA
"2020-07-20 08:00:00",9164.231445,236.153168,41.975811,0.195065,0.117924,109.533333,98.357498,159.841995,211.600006,125.239998
"2020-07-21 08:00:00",9374.887695,245.016724,43.61615,0.198988,0.122965,104.557335,97,156.914505,208.75,125.07
"2020-07-22 08:00:00",9525.363281,262.190643,44.936115,0.203342,0.123922,106.155334,97.272499,154.995499,211.75,126.139999
"2020-07-23 08:00:00",9581.072266,274.689056,44.850079,0.207578,0.123773,100.87133,92.845001,149.327499,202.539993,126.160004
"2020-07-24 08:00:00",9536.892578,279.215424,44.182541,0.204049,0.121888,94.466667,92.614998,150.445496,201.300003,125.959999
"2020-07-25 08:00:00",9677.113281,304.056763,48.804768,0.214102,0.143578,NA,NA,NA,NA,NA
"2020-07-26 08:00:00",9905.166992,309.643616,47.978718,0.214982,0.148108,NA,NA,NA,NA,NA
"2020-07-27 08:00:00",10990.873047,321.514099,52.950027,0.223672,0.138771,102.639999,94.809998,152.760498,203.850006,126.32
"2020-07-28 08:00:00",10912.823242,316.657257,55.575207,0.230277,0.148598,98.432671,93.252502,150.016495,202.020004,127.879997
"2020-07-29 08:00:00",11100.467773,318.190887,55.172005,0.243099,0.139879,99.940666,95.040001,151.676498,204.059998,128.309998
"2020-07-30 08:00:00",11111.213867,334.586639,56.643112,0.244522,0.140588,99.166,96.190002,152.593994,203.899994,131.419998
"2020-07-31 08:00:00",11323.466797,345.554657,57.998138,0.258904,0.138798,95.384003,106.260002,158.233994,205.009995,131.119995
"2020-08-01 08:00:00",11759.592773,385.199707,61.293224,0.289529,0.143573,NA,NA,NA,NA,NA
"2020-08-02 08:00:00",11053.614258,370.671722,56.641445,0.287062,0.133505,NA,NA,NA,NA,NA
"2020-08-03 08:00:00",11246.348633,386.295166,58.468903,0.30994,0.137335,99,108.9375,155.594498,216.539993,131.289993
"2020-08-04 08:00:00",11205.892578,389.875488,57.533054,0.300493,0.143018,99.133331,109.665001,156.941498,213.289993,133.789993
"2020-08-05 08:00:00",11747.022461,401.590576,59.010708,0.303311,0.142695,99.001335,110.0625,160.251495,212.940002,133.440002
